item,food_group,proposed_nutrition_role,tcac_search_term,tcac_match_status,tcac_food_code,tcac_food_entry,tcac_version,tcac_match_notes,energy_kcal_per_100g,protein_g_per_100g,fiber_g_per_100g,fat_g_per_100g,iron_mg_per_100g,calcium_mg_per_100g,vitamin_a_er_per_100g,vitamin_c_mg_per_100g,nutrient_source_url
Cebolla cabezona blanca,Vegetables,Cooking base and vegetable variety,cebolla cabezona blanca raw,pending_verified_match,,,2018,"Confirm edible portion and raw versus cooked entry before adding nutrients.",,,,,,,,,https://www.icbf.gov.co/tabla-de-composicion-de-alimentos-colombianos-tcac
Zanahoria,Vegetables,Orange vegetable role,zanahoria raw,verified_tcac_match,B110,"Zanahoria, sin cáscara, cruda",2018,"Exact raw, peeled edible-portion match. Values are per 100 g edible portion. Vitamin A is reported in TCAC as ER, not RAE.",47,0.7,0.8,0.1,0.4,27,1318,3,https://www.icbf.gov.co/sites/default/files/tcac_web.pdf
Tomate,Vegetables,Vegetable variety,tomate raw,pending_verified_match,"Confirm cultivar and edible portion before adding nutrients.",,,,,,,,,https://www.icbf.gov.co/tabla-de-composicion-de-alimentos-colombianos-tcac
Ahuyama,Vegetables,Orange vegetable role,ahuyama raw,verified_tcac_match,B006,"Ahuyama, cruda",2018,"Exact generic raw market-name match. Values are per 100 g edible pulp without seeds. Vitamin A is reported in TCAC as ER, not RAE.",30,0.8,1.1,0.2,0.8,20,1775,9,https://www.icbf.gov.co/sites/default/files/tcac_web.pdf
Banano,Fruit,Fruit and energy role,banano raw,pending_verified_match,,,2018,"Confirm variety and edible portion before adding nutrients.",,,,,,,,,https://www.icbf.gov.co/tabla-de-composicion-de-alimentos-colombianos-tcac
Naranja,Fruit,Citrus fruit role,naranja raw,pending_verified_match,,,2018,"Confirm variety and edible portion before adding nutrients.",,,,,,,,,https://www.icbf.gov.co/tabla-de-composicion-de-alimentos-colombianos-tcac
Guayaba,Fruit,Fruit role,guayaba raw,pending_verified_match,,,2018,"Confirm variety and edible portion before adding nutrients.",,,,,,,,,https://www.icbf.gov.co/tabla-de-composicion-de-alimentos-colombianos-tcac
Aguacate,Fruit,Fruit and dietary-fat role,aguacate raw,pending_verified_match,,,2018,"Confirm variety and edible portion before adding nutrients. Do not assume a direct substitution in the current basket.",,,,,,,,,https://www.icbf.gov.co/tabla-de-composicion-de-alimentos-colombianos-tcac
Yuca,Tubers and plantains,Root starch role,yuca raw,verified_tcac_match,B107,"Yuca blanca, sin cáscara, cruda",2018,"Exact raw, peeled edible-portion match. Values are per 100 g edible portion. Vitamin A is reported in TCAC as ER, not RAE. Do not calculate cost per nutrient until the market-to-edible yield is specified.",159,0.9,0.6,0.3,0.3,16,1,30,https://www.icbf.gov.co/sites/default/files/tcac_web.pdf
Chócolo mazorca,Vegetables,Fresh corn starch role,maiz tierno or choclo,needs_edible_yield_match,,,2018,"A TCAC candidate must specify whether the record represents tender kernels or whole cob. SIPSA price per kg may include non-edible cob material. No nutrient value or direct yuca comparison until this unit match is resolved.",,,,,,,,,https://www.icbf.gov.co/sites/default/files/tcac_web.pdf
