date,city,market,item,item_source_label,food_group,unit,price_average_cop_per_kg,price_change_pct_from_previous_market_day,source_url,extraction_method,review_flag
2025-02-12,Bogotá,Corabastos,Aguacate,Aguacate *,Fruit,COP per kg,8688.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Banano,Banano*,Fruit,COP per kg,2925.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Coco,Coco,Fruit,COP per kg,8142.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Granadilla,Granadilla,Fruit,COP per kg,11347.0,0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Guayaba,Guayaba*,Fruit,COP per kg,2188.0,-0.14,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Limón Tahití,Limón Tahití,Fruit,COP per kg,2491.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Limón común,Limón común,Fruit,COP per kg,1119.0,-0.16,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Lulo,Lulo,Fruit,COP per kg,5875.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Mandarina,Mandarina*,Fruit,COP per kg,3835.0,0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Mango tommy,Mango tommy,Fruit,COP per kg,3099.0,0.18,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Manzana royal gala,Manzana royal gala,Fruit,COP per kg,9112.0,0.09,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Maracuyá,Maracuyá,Fruit,COP per kg,4263.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Mora de Castilla,Mora de Castilla,Fruit,COP per kg,3833.0,-0.06,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Naranja,Naranja*,Fruit,COP per kg,1950.0,0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Piña,Piña *,Fruit,COP per kg,1514.0,0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Tomate de árbol,Tomate de árbol,Fruit,COP per kg,2500.0,-0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Arracacha,Arracacha*,Tubers and plantains,COP per kg,875.0,0.4,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Papa  criolla,Papa  criolla,Tubers and plantains,COP per kg,3000.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Papa negra,Papa negra*,Tubers and plantains,COP per kg,1392.0,-0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Plátano guineo,Plátano guineo,Tubers and plantains,COP per kg,2850.0,-0.1,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Plátano hartón verde,Plátano hartón verde,Tubers and plantains,COP per kg,2677.0,-0.04,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Yuca,Yuca*,Tubers and plantains,COP per kg,1771.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Ahuyama,Ahuyama,Vegetables,COP per kg,1675.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Arveja verde en vaina,Arveja verde en vaina,Vegetables,COP per kg,5108.0,-0.13,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Cebolla cabezona blanca,Cebolla cabezona blanca,Vegetables,COP per kg,1125.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Cebolla junca,Cebolla junca,Vegetables,COP per kg,2104.0,-0.21,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Chócolo mazorca,Chócolo mazorca,Vegetables,COP per kg,2900.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Fríjol verde,Fríjol verde*,Vegetables,COP per kg,3088.0,-0.1,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Habichuela,Habichuela,Vegetables,COP per kg,2385.0,0.24,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Lechuga batavia,Lechuga batavia,Vegetables,COP per kg,4000.0,0.04,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Pepino cohombro,Pepino cohombro,Vegetables,COP per kg,3788.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Pimentón,Pimentón,Vegetables,COP per kg,6563.0,0.04,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Remolacha,Remolacha,Vegetables,COP per kg,1115.0,-0.04,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Tomate,Tomate*,Vegetables,COP per kg,3778.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Bogotá,Corabastos,Zanahoria,Zanahoria,Vegetables,COP per kg,2177.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Aguacate,Aguacate *,Fruit,COP per kg,6550.0,0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
