date,item,food_group,bogota_cop_per_kg,medellin_cop_per_kg,bogota_minus_medellin_cop_per_kg,higher_price_market
2025-02-12,Aguacate,Fruit,8688.0,6550.0,2138.0,Bogotá
2025-02-12,Chócolo mazorca,Vegetables,2900.0,1458.0,1442.0,Bogotá
2025-02-12,Zanahoria,Vegetables,2177.0,1022.0,1155.0,Bogotá
2025-02-12,Ahuyama,Vegetables,1675.0,1025.0,650.0,Bogotá
2025-02-12,Banano,Fruit,2925.0,2275.0,650.0,Bogotá
2025-02-12,Yuca,Tubers and plantains,1771.0,1620.0,151.0,Bogotá
2025-02-12,Guayaba,Fruit,2188.0,2375.0,-187.0,Medellín
2025-02-12,Naranja,Fruit,1950.0,2200.0,-250.0,Medellín
2025-02-12,Cebolla cabezona blanca,Vegetables,1125.0,1422.0,-297.0,Medellín
2025-02-12,Tomate,Vegetables,3778.0,4275.0,-497.0,Medellín
2025-05-14,Guayaba,Fruit,3884.0,2050.0,1834.0,Bogotá
2025-05-14,Ahuyama,Vegetables,1875.0,925.0,950.0,Bogotá
2025-05-14,Banano,Fruit,2850.0,1925.0,925.0,Bogotá
2025-05-14,Zanahoria,Vegetables,1750.0,911.0,839.0,Bogotá
2025-05-14,Aguacate,Fruit,9975.0,9675.0,300.0,Bogotá
2025-05-14,Tomate,Vegetables,5170.0,5100.0,70.0,Bogotá
2025-05-14,Yuca,Tubers and plantains,1771.0,1960.0,-189.0,Medellín
2025-05-14,Chócolo mazorca,Vegetables,1550.0,1767.0,-217.0,Medellín
2025-05-14,Cebolla cabezona blanca,Vegetables,1900.0,2448.0,-548.0,Medellín
2025-05-14,Naranja,Fruit,1581.0,2425.0,-844.0,Medellín
2025-08-13,Zanahoria,Vegetables,4271.0,1972.0,2299.0,Bogotá
2025-08-13,Aguacate,Fruit,7938.0,6575.0,1363.0,Bogotá
2025-08-13,Ahuyama,Vegetables,2913.0,1750.0,1163.0,Bogotá
2025-08-13,Tomate,Vegetables,4205.0,3825.0,380.0,Bogotá
2025-08-13,Banano,Fruit,2438.0,2075.0,363.0,Bogotá
2025-08-13,Yuca,Tubers and plantains,3229.0,2960.0,269.0,Bogotá
2025-08-13,Cebolla cabezona blanca,Vegetables,2138.0,2240.0,-102.0,Medellín
2025-08-13,Naranja,Fruit,1888.0,2150.0,-262.0,Medellín
2025-08-13,Chócolo mazorca,Vegetables,1275.0,1583.0,-308.0,Medellín
2025-08-13,Guayaba,Fruit,2351.0,3100.0,-749.0,Medellín
2025-11-12,Chócolo mazorca,Vegetables,3600.0,1667.0,1933.0,Bogotá
2025-11-12,Guayaba,Fruit,3795.0,2375.0,1420.0,Bogotá
2025-11-12,Ahuyama,Vegetables,1900.0,950.0,950.0,Bogotá
2025-11-12,Yuca,Tubers and plantains,3583.0,2910.0,673.0,Bogotá
2025-11-12,Banano,Fruit,2500.0,1950.0,550.0,Bogotá
2025-11-12,Tomate,Vegetables,1506.0,1075.0,431.0,Bogotá
2025-11-12,Aguacate,Fruit,10625.0,10300.0,325.0,Bogotá
2025-11-12,Naranja,Fruit,2156.0,2175.0,-19.0,Medellín
2025-11-12,Zanahoria,Vegetables,2000.0,2167.0,-167.0,Medellín
2025-11-12,Cebolla cabezona blanca,Vegetables,1650.0,1823.0,-173.0,Medellín
