date,country,geography_level,zone,item,unit,currency,price_ngn,source_url
2026-03-01,Nigeria,Zone,NORTH CENTRAL,Beans Brown,1 kg,NGN,1229.762524082643,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,NORTH EAST,Beans Brown,1 kg,NGN,868.7924266207316,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,NORTH WEST,Beans Brown,1 kg,NGN,851.1140179692485,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,SOUTH EAST,Beans Brown,1 kg,NGN,1615.86727120459,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,SOUTH SOUTH,Beans Brown,1 kg,NGN,1762.489902477858,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,SOUTH WEST,Beans Brown,1 kg,NGN,1770.57122293648,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,NORTH CENTRAL,Garri white,1 kg,NGN,670.1647175618958,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,NORTH EAST,Garri white,1 kg,NGN,733.3304280379034,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,NORTH WEST,Garri white,1 kg,NGN,763.0914278423228,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,SOUTH EAST,Garri white,1 kg,NGN,942.0354915066971,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,SOUTH SOUTH,Garri white,1 kg,NGN,942.6813340220784,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-03-01,Nigeria,Zone,SOUTH WEST,Garri white,1 kg,NGN,809.6589219637999,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401
2026-04-01,Nigeria,Zone,NORTH CENTRAL,Beans Brown,1 kg,NGN,1241.2827431375367,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,NORTH EAST,Beans Brown,1 kg,NGN,871.7924266207316,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,NORTH WEST,Beans Brown,1 kg,NGN,885.9481949124229,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,SOUTH EAST,Beans Brown,1 kg,NGN,1621.333487656612,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,SOUTH SOUTH,Beans Brown,1 kg,NGN,1764.989902477858,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,SOUTH WEST,Beans Brown,1 kg,NGN,1787.0894517123,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,NORTH CENTRAL,Garri white,1 kg,NGN,673.878543462912,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,NORTH EAST,Garri white,1 kg,NGN,737.99709470457,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,NORTH WEST,Garri white,1 kg,NGN,782.9155480554572,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,SOUTH EAST,Garri white,1 kg,NGN,944.5781077802507,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,SOUTH SOUTH,Garri white,1 kg,NGN,944.0146673554118,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-04-01,Nigeria,Zone,SOUTH WEST,Garri white,1 kg,NGN,819.8286386605834,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415
2026-05-01,Nigeria,Zone,NORTH CENTRAL,Beans Brown,1 kg,NGN,1248.5213698789933,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1427
2026-05-01,Nigeria,Zone,NORTH EAST,Beans Brown,1 kg,NGN,876.4590932873983,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1427
2026-05-01,Nigeria,Zone,NORTH WEST,Beans Brown,1 kg,NGN,897.2000090094372,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1427
2026-05-01,Nigeria,Zone,SOUTH EAST,Beans Brown,1 kg,NGN,1625.4965451735738,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1427
2026-05-01,Nigeria,Zone,SOUTH SOUTH,Beans Brown,1 kg,NGN,1768.6565691445248,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1427
