date,item,food_group,basket_role,Bogotá,Medellín,Montería,highest_price_cop_per_kg,lowest_price_cop_per_kg,market_spread_cop_per_kg,highest_price_city,lowest_price_city
2025-02-12,Chócolo mazorca,Vegetables,Fresh corn starch,2900.0,1458.0,1050.0,2900.0,1050.0,1850.0,Bogotá,Montería
2025-02-12,Zanahoria,Vegetables,Vegetable variety,2177.0,1022.0,1528.0,2177.0,1022.0,1155.0,Bogotá,Medellín
2025-02-12,Banano,Fruit,Common fruit,2925.0,2275.0,2000.0,2925.0,2000.0,925.0,Bogotá,Montería
2025-02-12,Yuca,Tubers and plantains,Root starch,1771.0,1620.0,875.0,1771.0,875.0,896.0,Bogotá,Montería
2025-02-12,Ahuyama,Vegetables,Vegetable variety,1675.0,1025.0,900.0,1675.0,900.0,775.0,Bogotá,Montería
2025-02-12,Tomate,Vegetables,Vegetable variety,3778.0,4275.0,4300.0,4300.0,3778.0,522.0,Montería,Bogotá
2025-02-12,Cebolla cabezona blanca,Vegetables,Cooking base,1125.0,1422.0,1525.0,1525.0,1125.0,400.0,Montería,Bogotá
2025-02-12,Naranja,Fruit,Fruit variety,1950.0,2200.0,1906.0,2200.0,1906.0,294.0,Medellín,Montería
2025-05-14,Banano,Fruit,Common fruit,2850.0,1925.0,1688.0,2850.0,1688.0,1162.0,Bogotá,Montería
2025-05-14,Yuca,Tubers and plantains,Root starch,1771.0,1960.0,875.0,1960.0,875.0,1085.0,Medellín,Montería
2025-05-14,Ahuyama,Vegetables,Vegetable variety,1875.0,925.0,900.0,1875.0,900.0,975.0,Bogotá,Montería
2025-05-14,Naranja,Fruit,Fruit variety,1581.0,2425.0,1706.0,2425.0,1581.0,844.0,Medellín,Bogotá
2025-05-14,Zanahoria,Vegetables,Vegetable variety,1750.0,911.0,1417.0,1750.0,911.0,839.0,Bogotá,Medellín
2025-05-14,Cebolla cabezona blanca,Vegetables,Cooking base,1900.0,2448.0,2325.0,2448.0,1900.0,548.0,Medellín,Bogotá
2025-05-14,Chócolo mazorca,Vegetables,Fresh corn starch,1550.0,1767.0,1250.0,1767.0,1250.0,517.0,Medellín,Montería
2025-05-14,Tomate,Vegetables,Vegetable variety,5170.0,5100.0,5525.0,5525.0,5100.0,425.0,Montería,Medellín
2025-08-13,Zanahoria,Vegetables,Vegetable variety,4271.0,1972.0,2806.0,4271.0,1972.0,2299.0,Bogotá,Medellín
2025-08-13,Yuca,Tubers and plantains,Root starch,3229.0,2960.0,1706.0,3229.0,1706.0,1523.0,Bogotá,Montería
2025-08-13,Ahuyama,Vegetables,Vegetable variety,2913.0,1750.0,1675.0,2913.0,1675.0,1238.0,Bogotá,Montería
2025-08-13,Chócolo mazorca,Vegetables,Fresh corn starch,1275.0,1583.0,1175.0,1583.0,1175.0,408.0,Medellín,Montería
2025-08-13,Tomate,Vegetables,Vegetable variety,4205.0,3825.0,3875.0,4205.0,3825.0,380.0,Bogotá,Medellín
2025-08-13,Naranja,Fruit,Fruit variety,1888.0,2150.0,1781.0,2150.0,1781.0,369.0,Medellín,Montería
2025-08-13,Banano,Fruit,Common fruit,2438.0,2075.0,2075.0,2438.0,2075.0,363.0,Bogotá,Medellín
2025-08-13,Cebolla cabezona blanca,Vegetables,Cooking base,2138.0,2240.0,2250.0,2250.0,2138.0,112.0,Montería,Bogotá
2025-11-12,Chócolo mazorca,Vegetables,Fresh corn starch,3600.0,1667.0,1275.0,3600.0,1275.0,2325.0,Bogotá,Montería
2025-11-12,Yuca,Tubers and plantains,Root starch,3583.0,2910.0,2469.0,3583.0,2469.0,1114.0,Bogotá,Montería
2025-11-12,Ahuyama,Vegetables,Vegetable variety,1900.0,950.0,1500.0,1900.0,950.0,950.0,Bogotá,Medellín
2025-11-12,Zanahoria,Vegetables,Vegetable variety,2000.0,2167.0,2611.0,2611.0,2000.0,611.0,Montería,Bogotá
2025-11-12,Banano,Fruit,Common fruit,2500.0,1950.0,1975.0,2500.0,1950.0,550.0,Bogotá,Medellín
2025-11-12,Tomate,Vegetables,Vegetable variety,1506.0,1075.0,1425.0,1506.0,1075.0,431.0,Bogotá,Medellín
2025-11-12,Cebolla cabezona blanca,Vegetables,Cooking base,1650.0,1823.0,1950.0,1950.0,1650.0,300.0,Montería,Bogotá
2025-11-12,Naranja,Fruit,Fruit variety,2156.0,2175.0,2031.0,2175.0,2031.0,144.0,Medellín,Montería
