date,city,market,foods_in_shared_basket,equal_weight_shared_basket_cop
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),8,14084.0
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),8,15297.0
2025-02-12,Bogotá,Corabastos,8,18301.0
2025-05-14,Montería,SIPSA Montería (Mercado del Sur in later files),8,15686.0
2025-05-14,Medellín,Central Mayorista de Antioquia (CMA),8,17461.0
2025-05-14,Bogotá,Corabastos,8,18447.0
2025-08-13,Montería,SIPSA Montería (Mercado del Sur in later files),8,17343.0
2025-08-13,Medellín,Central Mayorista de Antioquia (CMA),8,18555.0
2025-08-13,Bogotá,Corabastos,8,22357.0
2025-11-12,Medellín,Central Mayorista de Antioquia (CMA),8,14717.0
2025-11-12,Montería,SIPSA Montería (Mercado del Sur in later files),8,15236.0
2025-11-12,Bogotá,Corabastos,8,18895.0
